Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,RSI,MACD,EMA_12,EMA_26
2017-12-28 00:00:00+00:00,762.2080078125,763.3189697265625,701.18701171875,737.0230102539062,2389149952,0.0,0.0,698.5276000976562,519.4602416992187,59.66186688005389,-8.434229086399085,730.7533605044175,659.6227844875335
2017-12-29 00:00:00+00:00,740.3889770507812,770.1170043945312,729.6079711914062,753.5919799804688,2648969984,0.0,0.0,712.5320983886719,528.1144012451172,61.17370625290475,-9.505021174782158,734.2669942699638,666.5834656351584
2017-12-30 00:00:00+00:00,753.8150024414062,753.8150024414062,685.2310180664062,717.2570190429688,3187780096,0.0,0.0,726.3088989257812,536.4744818115234,56.19936956699312,-12.700429591360418,731.6500750042721,670.3370621838851
2017-12-31 00:00:00+00:00,712.2119750976562,760.3480224609375,710.1190185546875,756.7329711914062,2554269952,0.0,0.0,738.3887481689453,545.3155212402344,60.00453652626435,-12.19297555933403,735.5089821099851,676.7367591474052
2018-01-01 00:00:00+00:00,755.7570190429688,782.530029296875,742.0040283203125,772.6409912109375,2595760128,0.0,0.0,744.4492462158203,554.6101812744141,61.45765069369285,-10.867500771570647,741.2215988947471,683.8407763372965
2018-01-02 00:00:00+00:00,772.3460083007812,914.8300170898438,772.3460083007812,884.4439697265625,5783349760,0.0,0.0,753.5330932617187,565.964740600586,69.77037971211288,-2.954228544784357,763.2558097919496,698.7002721439087
2018-01-03 00:00:00+00:00,886.0,974.4710083007812,868.4509887695312,962.719970703125,5093159936,0.0,0.0,766.8782928466796,578.4665197753907,73.99863774042403,6.540440586768227,793.9426037782843,718.2572868519987
2018-01-04 00:00:00+00:00,961.7130126953125,1045.0799560546875,946.0859985351562,980.9219970703125,6502859776,0.0,0.0,781.7019927978515,591.4178198242188,74.87856941291497,12.679884713501991,822.7086642847501,737.7139320533553
2018-01-05 00:00:00+00:00,975.75,1075.3900146484375,956.3250122070312,997.719970703125,6683149824,0.0,0.0,796.7775421142578,604.7537390136719,75.69600284005404,16.27599561512804,849.6334806568077,756.9736386200049
2018-01-06 00:00:00+00:00,995.1539916992188,1060.7099609375,994.6220092773438,1041.6800537109375,4662219776,0.0,0.0,812.8627960205079,618.9394598388672,77.73758383728344,19.785806526424466,879.17910728052,778.0630027008146
2018-01-07 00:00:00+00:00,1043.010009765625,1153.1700439453125,1043.010009765625,1153.1700439453125,5569880064,0.0,0.0,830.7890472412109,635.050620727539,81.89208911049225,27.322041249725018,921.3315590751035,805.8487094596663
2018-01-08 00:00:00+00:00,1158.260009765625,1266.9300537109375,1016.0499877929688,1148.530029296875,8450970112,0.0,0.0,846.874398803711,650.9335015869141,81.21282325655392,29.513480466921223,956.285169878453,831.2325109290892
2018-01-09 00:00:00+00:00,1146.0,1320.97998046875,1145.489990234375,1299.739990234375,7965459968,0.0,0.0,870.9070983886719,669.593701171875,85.4487154585552,38.11874069782732,1009.1243730101334,865.9367686554067
2018-01-10 00:00:00+00:00,1300.3399658203125,1417.3800048828125,1226.5999755859375,1255.8199462890625,9214950400,0.0,0.0,892.6449462890625,687.502080078125,79.81936005873834,37.75333634991338,1047.0775381299686,894.8170040356775
2018-01-11 00:00:00+00:00,1268.0899658203125,1337.300048828125,1135.1700439453125,1154.9300537109375,7235899904,0.0,0.0,916.6484497070312,702.9876409912109,68.63373317528254,28.062718196319352,1063.670232834733,914.0846373449561
2018-01-12 00:00:00+00:00,1158.2900390625,1296.0400390625,1120.0899658203125,1273.199951171875,5222300160,0.0,0.0,944.3390960693359,720.2483203125,73.34872848265314,26.95754009712556,1095.9055741173702,940.6857717025057
2018-01-13 00:00:00+00:00,1270.469970703125,1432.8800048828125,1270.469970703125,1396.4200439453125,5746760192,0.0,0.0,979.4526977539062,738.6785009765625,77.19500427811941,31.545952972050088,1142.1385694755152,974.4438659427136
2018-01-14 00:00:00+00:00,1397.47998046875,1400.56005859375,1286.2099609375,1366.77001953125,4841630208,0.0,0.0,1009.4994995117188,756.6883813476562,74.4121247818665,29.634752827116273,1176.6972540994743,1003.5050625048275
2018-01-15 00:00:00+00:00,1365.2099609375,1390.5899658203125,1290.5999755859375,1291.9200439453125,4781100032,0.0,0.0,1035.4037017822266,773.1001824951172,67.77018174281092,20.797810544821374,1194.42383715268,1024.8691352041228
2018-01-16 00:00:00+00:00,1292.6300048828125,1292.6300048828125,875.5449829101562,1053.68994140625,8405139968,0.0,0.0,1049.9460998535155,784.5668811035156,51.89365891610626,-2.3907460520346717,1172.7724685763062,1027.0040097376136
2018-01-17 00:00:00+00:00,1061.3399658203125,1090.22998046875,780.9219970703125,1014.25,8545160192,0.0,0.0,1063.8074493408203,795.3938409423828,49.813078846194614,-20.66726134292145,1148.3843964876437,1026.0592682755682
2018-01-18 00:00:00+00:00,1016.4400024414062,1100.31005859375,967.7589721679688,1036.280029296875,5938319872,0.0,0.0,1077.9418518066407,807.5689813232422,50.99496153747285,-30.936944378851024,1131.137570765987,1026.8163616845538
2018-01-19 00:00:00+00:00,1028.8199462890625,1093.219970703125,1003.7100219726562,1039.0999755859375,4084450048,0.0,0.0,1094.033999633789,819.4087005615235,51.15353386963597,-36.80517738606346,1116.977940738287,1027.7262590105822
2018-01-20 00:00:00+00:00,1044.949951171875,1167.1099853515625,1044.949951171875,1155.1500244140625,3975190016,0.0,0.0,1113.954852294922,833.1809008789063,57.279963736260115,-32.29707725243739,1122.8505689960987,1037.165056447877
2018-01-21 00:00:00+00:00,1155.6800537109375,1155.6800537109375,1021.5,1049.5799560546875,3378089984,0.0,0.0,1127.8018005371093,844.9035198974609,51.011995486319094,-35.59128114921653,1111.5781670051124,1038.084678640974
