Date,Ticker,Open,High,Low,Close,Volume
2020-08-29,TON-USD,6.934731960296631,6.963616847991943,6.834932804107666,6.900953769683838,1222026
2020-08-30,TON-USD,6.9300217628479,6.931294918060303,6.7378339767456055,6.931294918060303,855255
2020-08-31,TON-USD,6.931294918060303,7.424099922180176,6.824237823486328,7.142372131347656,2694237
2020-09-01,TON-USD,7.141759872436523,7.36942481994629,6.751486778259277,6.8207550048828125,884902
2020-09-02,TON-USD,6.820650100708008,6.861972808837891,5.972713947296143,6.278779029846191,1071541
2020-09-03,TON-USD,6.278746128082275,6.3636322021484375,5.486579895019531,5.499348163604736,844125
2020-09-04,TON-USD,5.598893165588379,5.869162082672119,5.381894111633301,5.667358875274658,422303
2020-09-05,TON-USD,5.667354106903076,5.971518039703369,5.04402494430542,5.111878871917725,365514
2020-09-06,TON-USD,5.111945152282715,5.314176082611084,4.661565780639648,4.960493087768555,188923
2020-09-07,TON-USD,5.018731117248535,5.169672966003418,4.44322395324707,4.7979350090026855,528866
2020-09-08,TON-USD,4.80220890045166,6.653659820556641,4.736855983734131,6.507384777069092,25871449
2020-09-09,TON-USD,6.45198392868042,8.383987426757812,6.25153398513794,6.739346981048584,33966838
2020-09-10,TON-USD,6.739346981048584,7.588325023651123,6.334272861480713,6.644332885742188,15758859
2020-09-11,TON-USD,6.64422082901001,6.694683074951172,4.0450520515441895,5.266161918640137,5561173
2020-09-12,TON-USD,5.186769008636475,5.261954784393311,4.617867946624756,4.865246772766113,5685828
2020-09-13,TON-USD,4.865246772766113,6.090066909790039,4.865246772766113,5.235811233520508,24866825
2020-09-14,TON-USD,5.227400779724121,5.54099702835083,4.815258979797363,5.135960102081299,5009681
2020-09-15,TON-USD,5.135960102081299,5.196568012237549,4.660606861114502,4.719855785369873,2000849
2020-09-16,TON-USD,4.719736099243164,4.719814777374268,4.330033779144287,4.406004905700684,1212112
2020-09-17,TON-USD,4.405992031097412,4.46260404586792,4.10460090637207,4.369859218597412,897915
2020-09-18,TON-USD,4.327569961547852,4.557355880737305,4.243021965026856,4.321928024291992,1551438
2020-09-19,TON-USD,4.321929931640625,4.458634853363037,4.300638198852539,4.343233108520508,449004
2020-09-20,TON-USD,4.360352993011475,4.381807804107666,4.077124118804932,4.1285319328308105,582810
2020-09-21,TON-USD,4.1285319328308105,4.297632217407227,3.4963738918304443,3.643578052520752,650992
2020-09-22,TON-USD,3.6433789730072026,3.7036650180816646,3.22845196723938,3.4157838821411133,364226
