Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,EMA_12,EMA_26
2024-05-27,3892.0068359375,3973.556396484375,3821.930419921875,3826.127197265625,18949181813,3301.138879394531,3225.097880859375,72.60791803341165,81.19193778736903,3589.0267208930027,3396.8011106302924
2024-05-28,3840.25634765625,3924.895751953125,3771.2138671875,3892.096923828125,19846044324,3344.4688354492187,3227.9971533203125,69.37128716681458,69.59529081688186,3627.677432702733,3429.6496467062893
2024-05-29,3763.196533203125,3880.6484375,3742.041259765625,3840.235107421875,17411416736,3380.82763671875,3233.1578173828125,64.74319990900314,52.58976513921144,3648.5265250874086,3454.3568234838326
2024-05-30,3746.849609375,3823.643310546875,3702.263671875,3763.357666015625,15065849797,3422.680554199219,3237.220068359375,63.771259709349266,36.84020896233116,3663.6531534393457,3476.0229557720672
2024-05-31,3760.026611328125,3843.857666015625,3723.835205078125,3746.861572265625,15290700646,3465.1017822265626,3242.31564453125,64.23731851092144,24.503669577925535,3678.479839268389,3497.0602635910345
2024-06-01,3813.198974609375,3829.294677734375,3749.840087890625,3759.88427734375,8661024535,3509.3266357421876,3253.71892578125,66.13073968273824,17.449606481568594,3699.205860090079,3520.4779458886896
2024-06-02,3780.89599609375,3834.911865234375,3752.41455078125,3813.275634765625,11126903059,3550.903454589844,3269.238837890625,63.916762149054826,8.581675017429461,3711.773573321413,3539.7681718298054
2024-06-03,3766.38916015625,3848.60302734375,3758.919921875,3780.854248046875,14082454300,3595.1650146484376,3281.427783203125,62.898349250550275,0.1578664927895943,3720.1759712960034,3556.554911705838
2024-06-04,3812.515869140625,3831.364990234375,3738.13427734375,3766.476318359375,13331489271,3633.9379760742186,3295.64609375,64.81788213885652,-3.676853038691206,3734.382109425945,3575.5149826269335
2024-06-05,3864.260986328125,3887.48583984375,3778.65576171875,3812.560791015625,15480034434,3679.8944702148438,3311.23291015625,66.88752565661807,-4.067264182550218,3754.363475103203,3596.903575493688
2024-06-06,3811.60595703125,3878.05224609375,3761.775390625,3864.263427734375,13606583873,3715.768835449219,3327.770478515625,62.83671268121431,-8.931686892164606,3763.1700107844413,3612.8074556075817
2024-06-07,3678.629150390625,3838.4521484375,3615.2802734375,3811.666015625,18220286186,3743.552844238281,3340.022509765625,53.95056049399041,-21.450923361310544,3750.163724570008,3617.683136702622
2024-06-08,3680.949951171875,3707.497314453125,3669.637939453125,3677.400390625,9096091805,3774.008190917969,3352.4559375,54.07263317492991,-29.428501514574805,3739.5154517395263,3622.369567404048
2024-06-09,3705.90380859375,3719.36767578125,3668.12353515625,3680.93603515625,7910768788,3776.1106079101564,3363.4214697265625,55.44042402528619,-32.62979608528741,3734.344429717099,3628.5572889736554
2024-06-10,3666.717529296875,3711.4287109375,3648.16455078125,3705.877197265625,10377300126,3769.980847167969,3373.810048828125,52.78205384489274,-36.688495263890076,3723.9402911909106,3631.383973442042
2024-06-11,3498.33056640625,3669.890869140625,3434.7490234375,3666.35888671875,19184721538,3758.036486816406,3379.7436181640624,43.196872465970046,-49.233500610977615,3689.2311027625015,3621.528165513465
2024-06-12,3559.61767578125,3652.4921875,3463.784912109375,3497.89697265625,17142905351,3747.171008300781,3386.5377392578125,46.9714565643817,-51.67045250918068,3669.290575534617,3616.9422033110786
2024-06-13,3469.28125,3559.725341796875,3431.33349609375,3559.725341796875,14472382154,3734.2883422851564,3393.1272607421874,42.48960004202039,-57.20261566610516,3638.519910067753,3606.0043549176653
2024-06-14,3480.27197265625,3528.602294921875,3366.223876953125,3467.969970703125,15793876596,3720.8401123046874,3399.602509765625,43.1997049949255,-57.787953915048064,3614.174073542906,3596.6908451205236
2024-06-15,3565.549560546875,3589.887451171875,3473.45263671875,3479.78564453125,12733651076,3707.822717285156,3408.310205078125,48.5119260877777,-50.369509121487475,3606.6933792358245,3594.384083300253
2024-06-16,3620.5634765625,3648.093017578125,3541.534423828125,3566.761962890625,9878388158,3694.2505493164062,3415.6781103515623,51.653266647790126,-40.139889848022925,3608.8272403630053,3596.323297615975
2024-06-17,3511.37890625,3634.285400390625,3468.14892578125,3622.383544921875,17838856988,3677.806677246094,3420.6501953125,45.69462963265797,-39.07181128944214,3593.835188961005,3590.0311204777545
2024-06-18,3483.681396484375,3514.17724609375,3371.59033203125,3510.565185546875,21022514455,3663.830920410156,3426.015244140625,44.29857307427096,-38.51263300855697,3576.888451656908,3582.1533631449115
2024-06-19,3559.347412109375,3583.320068359375,3466.48095703125,3482.350830078125,15275373778,3654.455810546875,3436.956455078125,48.89233725247369,-31.617539816858102,3574.1898301880565,3580.464033438576
2024-06-20,3511.0869140625,3623.886474609375,3485.4599609375,3559.347412109375,16115123753,3642.008825683594,3447.7825,46.27120575183367,-28.949307903634068,3564.481689245663,3575.3249875588667
2024-06-21,3516.07568359375,3542.957275390625,3447.935546875,3511.268310546875,15933353456,3627.1526611328127,3458.34064453125,46.589960917598205,-25.606038692388985,3557.034611453061,3570.936150228117
2024-06-22,3494.8134765625,3519.49755859375,3477.169921875,3516.55126953125,7423703673,3612.84853515625,3466.16607421875,45.35493998469762,-23.6318435323369,3547.4621291622057,3565.297433660294
2024-06-23,3418.61181640625,3519.324951171875,3408.5830078125,3494.953857421875,9418141333,3595.45966796875,3472.1867822265626,41.145317376986746,-26.071493834909766,3527.639004122828,3554.4318323822163
2024-06-24,3350.25634765625,3430.698974609375,3244.241455078125,3418.783203125,23137744903,3572.3466918945314,3476.4469287109373,37.75968037819236,-30.5896186492843,3500.349364666431,3539.307722402515
2024-06-25,3395.029052734375,3422.21337890625,3335.556884765625,3350.5556640625,13235546063,3548.8850952148437,3483.0929345703125,41.17407335497869,-28.884347758081034,3484.146239753807,3528.620413538208
2024-06-26,3369.477294921875,3421.509521484375,3328.390625,3394.373291015625,11694054195,3526.778662109375,3490.3509375,39.83113372597318,-27.789875783444025,3466.504863625818,3516.832034381443
2024-06-27,3444.800537109375,3470.923095703125,3362.2646484375,3368.88623046875,11771834016,3515.0872314453127,3499.7738037109375,45.47670218519231,-20.634669180177937,3463.165736469442,3511.4963679168454
2024-06-28,3373.635986328125,3482.95751953125,3363.4375,3445.498779296875,12861158844,3499.721533203125,3506.52611328125,41.513513649122714,-19.357277421235047,3449.391928755393,3501.2844877991624
2024-06-29,3372.9677734375,3401.730224609375,3369.552734375,3373.68994140625,6584792001,3483.0747314453124,3515.7896435546877,41.47696271032304,-17.287918378613,3437.634366398794,3491.7795459945946
2024-06-30,3432.88916015625,3453.21142578125,3352.284423828125,3373.07568359375,8396416013,3471.3833129882814,3526.2153857421877,46.063096718487834,-10.924559444315967,3436.904334669172,3487.4172951917544
2024-07-01,3440.341552734375,3513.310791015625,3425.3232421875,3432.607421875,12281551839,3468.4838623046876,3536.4481787109376,46.6233312852602,-5.5269317049391375,3437.433137448434,3483.9302031578745
2024-07-02,3416.354736328125,3459.761474609375,3399.026123046875,3439.38134765625,9421757718,3461.3207153320313,3545.7880810546876,45.00306081990767,-3.0113380087906307,3434.190306506848,3478.924613022338
2024-07-03,3292.916748046875,3426.332275390625,3254.521240234375,3416.2548828125,16121324440,3452.502490234375,3554.0232568359374,37.73540800730381,-8.773896999571754,3412.4559128976216,3465.1462526537853
2024-07-04,3054.52197265625,3309.20361328125,3054.52197265625,3291.81787109375,20252514386,3431.214990234375,3554.3725634765624,28.247593984996442,-26.739234962844122,3357.3891528604877,3434.7296393206348
2024-07-05,2981.5986328125,3106.152587890625,2826.014404296875,3057.833251953125,31131942647,3402.017443847656,3555.1019140625,26.086896211666556,-40.79032110618403,3299.5752266992586,3401.1643795792916
2024-07-06,3069.3779296875,3080.107421875,2957.395751953125,2981.988037109375,11586293705,3374.4581665039063,3554.607099609375,32.7547267674275,-41.302812648932104,3264.160257928219,3376.587605513233
